108,1688,443,1694,552,0,0
109,1682,442,1688,552,1,6
110,1674,442,1680,557,2,14
111,1669,440,1675,556,3,19
112,1659,443,1665,557,4,29
113,1653,442,1659,556,5,35
114,1645,442,1651,553,6,43
115,1634,442,1640,553,7,54
116,1629,440,1635,553,8,59
117,1625,442,1631,551,9,63
118,1615,443,1621,552,10,73
119,1606,443,1612,555,11,82
120,1597,441,1603,556,12,91
121,1589,442,1595,554,13,99
122,1584,441,1590,552,14,104
123,1570,439,1576,555,15,118
124,1566,440,1572,554,16,122
125,1560,438,1566,555,17,128
126,1554,440,1560,559,18,134
127,1541,440,1547,556,19,147
128,1534,440,1540,555,20,154
129,1528,440,1534,556,21,160
130,1522,440,1528,558,22,166
131,1514,441,1520,556,23,174
132,1506,440,1512,559,24,182
133,1501,440,1507,558,25,187
134,1490,441,1496,557,26,198
135,1483,439,1489,560,27,205
136,1476,441,1482,558,28,212
137,1467,442,1473,560,29,221
138,1459,440,1465,554,30,229
139,1450,443,1456,555,31,238
140,1443,444,1449,553,32,245
141,1435,443,1441,557,33,253
142,1426,440,1432,555,34,262
143,1422,440,1428,555,35,266
144,1414,439,1420,554,36,274
145,1408,441,1414,560,37,280
146,1398,441,1404,558,38,290
147,1388,441,1394,558,39,300
148,1376,438,1382,558,40,312
149,1371,438,1377,556,41,317
150,1366,437,1372,555,42,322
151,1358,438,1364,557,43,330
152,1353,442,1359,562,44,335
153,1341,440,1347,553,45,347
154,1333,449,1339,557,46,355
155,1328,439,1334,555,47,360
156,1318,437,1324,559,48,370
157,1312,440,1318,555,49,376
158,1307,441,1313,557,50,381
159,1295,439,1301,559,51,393
160,1288,438,1294,559,52,400
161,1279,437,1285,558,53,409
162,1273,438,1279,555,54,415
163,1266,438,1272,557,55,422
164,1260,439,1266,557,56,428
165,1252,441,1258,553,57,436
166,1243,440,1249,556,58,445
167,1235,442,1241,559,59,453
168,1228,437,1234,559,60,460
169,1221,436,1227,559,61,467
170,1216,438,1222,556,62,472
171,1207,440,1213,557,63,481
172,1199,438,1205,557,64,489
173,1191,435,1197,552,65,497
174,1186,441,1192,556,66,502
175,1177,441,1183,554,67,511
176,1170,439,1176,557,68,518
177,1162,440,1168,559,69,526
178,1155,437,1161,558,70,533
179,1147,439,1153,556,71,541
180,1139,438,1145,558,72,549
182,1127,436,1133,557,74,561
184,1110,447,1116,557,76,578
186,1098,439,1104,553,78,590
188,1086,436,1092,557,80,602
190,1069,437,1075,555,82,619
192,1054,438,1060,558,84,634
194,1039,437,1045,557,86,649
196,1029,438,1035,555,88,659
198,1016,439,1022,554,90,672
200,998,439,1004,556,92,690
202,985,438,991,558,94,703
204,970,438,976,556,96,718
206,958,441,964,558,98,730
208,941,440,947,558,100,747
210,929,440,935,557,102,759
212,916,438,922,558,104,772
214,904,437,910,555,106,784
216,891,437,897,552,108,797
218,878,440,884,557,110,810
220,867,439,873,559,112,821
222,850,442,856,558,114,838
224,840,440,846,556,116,848
226,827,442,833,557,118,861
228,813,441,819,558,120,875
230,798,441,804,558,122,890
232,786,441,792,553,124,902
234,774,442,780,557,126,914
236,761,445,767,561,128,927
238,747,443,753,559,130,941
240,733,443,739,561,132,955
242,724,442,730,559,134,964
244,708,445,714,556,136,980
246,697,445,703,560,138,991
248,682,443,688,561,140,1006
250,671,444,677,559,142,1017
252,659,448,665,561,144,1029
254,648,446,654,565,146,1040
256,634,447,640,567,148,1054
258,622,449,628,563,150,1066
260,609,448,615,565,152,1079
262,597,452,603,563,154,1091
237,755,441,761,556,129,933
239,744,444,750,557,131,944
241,728,444,734,562,133,960
243,716,442,722,561,135,972
264,586,451,592,563,156,1102
265,580,449,586,564,157,1108
266,573,450,579,564,158,1115
267,566,450,572,565,159,1122
269,555,454,561,565,161,1133
271,544,452,550,566,163,1144
273,536,453,542,564,165,1152
275,522,454,528,564,167,1166
277,509,451,515,566,169,1179
279,500,452,506,569,171,1188
281,488,455,494,570,173,1200
283,475,458,481,572,175,1213
285,460,458,466,576,177,1228
287,448,459,454,576,179,1240
289,439,457,445,570,181,1249
291,427,460,433,573,183,1261
293,415,459,421,573,185,1273
295,404,460,410,572,187,1284
297,391,458,397,572,189,1297
299,378,458,384,574,191,1310
301,370,461,376,581,193,1318
303,357,463,363,578,195,1331
305,343,464,349,575,197,1345
307,337,465,343,574,199,1351
309,319,463,325,576,201,1369
311,311,462,317,575,203,1377
313,298,462,304,574,205,1390
315,287,463,293,574,207,1401
317,276,462,282,579,209,1412
319,265,463,271,577,211,1423
321,254,461,260,578,213,1434
323,237,463,243,583,215,1451
325,229,463,235,581,217,1459
327,220,460,226,579,219,1468
329,205,463,211,584,221,1483
331,197,464,203,583,223,1491
333,188,467,194,586,225,1500
335,177,468,183,587,227,1511
337,164,468,170,587,229,1524
339,157,469,163,584,231,1531
341,137,468,143,585,233,1551
343,129,469,135,585,235,1559
345,117,471,123,584,237,1571
347,108,472,114,581,239,1580
349,94,472,100,582,241,1594
351,83,471,89,584,243,1605
353,70,471,76,586,245,1618
355,59,470,65,588,247,1629
357,48,476,54,588,249,1640
359,39,474,45,586,251,1649
361,25,474,31,597,253,1663
363,17,474,23,595,255,1671
365,12,474,18,594,257,1676
